,Sampling_start_date,State,County,detection_status_SARSCoV2,sars.cov.2_cocentration_copy_per_ml*,pmmov_concentration**,new_cases***,cumulative_cases***,county_population,wwtp_flow_MGD****,wwtp_flow_mL,Estimated_population_served,Sampling_location_ID
122,4/19/20,PA,Montgomery,quantifiable,39.7585995,2215548.554,132,2913,830915,3.553,13449568836,35600,14fe9dfc5e0d80a1f799ac0e5dfe66b9e8b99202
123,5/3/20,PA,Montgomery,quantifiable,38.32205613,unmeasured,65,4552,830915,3.95,14952377400,35600,14fe9dfc5e0d80a1f799ac0e5dfe66b9e8b99202
124,4/26/20,PA,Montgomery,quantifiable,16.24983149,23761878.56,106,3733,830915,5.53,20933328360,35600,14fe9dfc5e0d80a1f799ac0e5dfe66b9e8b99202
125,4/18/20,PA,Montgomery,quantifiable,21.03066736,1268265.773,97,2781,830915,1.487,5628907644,15500,039b8c930137ca16ec5b4cdde43d6757f81ab62a
126,4/11/20,PA,Montgomery,not detected,NA,900878.6031,164,2053,830915,1.5,5678118000,15500,039b8c930137ca16ec5b4cdde43d6757f81ab62a
127,4/25/20,PA,Montgomery,not detected,NA,3830590.895,102,3627,830915,1.505,5697045060,15500,039b8c930137ca16ec5b4cdde43d6757f81ab62a
128,5/2/20,PA,Montgomery,not detected,NA,unmeasured,81,4487,830915,1.455,5507774460,15500,039b8c930137ca16ec5b4cdde43d6757f81ab62a
129,5/20/20,CA,Santa Clara,quantifiable,11.35201653,unmeasured,9,2492,1927852,101,3.82E+11,1500000,627aa6524bcdc2b4d1743113d85c436473cca6a9
130,3/30/20,CA,San Luis Obispo,not detected,NA,unmeasured,6,77,283111,0.501,1896491412,6500,a8412f460161ea2c00343d69852d1c62d491354f
131,5/4/20,CA,Santa Clara,quantifiable,21.4330985,1630728.916,13,2244,1927852,104,3.94E+11,1500000,627aa6524bcdc2b4d1743113d85c436473cca6a9
132,5/12/20,CA,Santa Clara,not detected,NA,25342462,23,2364,1927852,96.3,3.65E+11,1500000,627aa6524bcdc2b4d1743113d85c436473cca6a9
133,4/20/20,ND,McKenzie,not detected,NA,7653520.892,0,10,15024,0.55,2081976600,6500,34dc4cbced3f8dce4668adf9d97bd8339e1e328a
